handle,title,Body (HTML),vendor,Type,Tags,Published,sku,Variant Barcode,Image Src,Author,YearLevel
The Secret Tin: Narrative Topic Book Pack ,The Secret Tin: Narrative Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458662743,9781458662743,,Diana Noonan ,"4"
Five Australian Leaders from the Past: Narrative Topic Book Pack,Five Australian Leaders from the Past: Narrative Topic Book Pack,"<BR>This Pack contains 6 copies of one title<BR><BR><BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458662750,9781458662750,,Melanie Guile,"4"
What Does that Sign Mean?,What Does that Sign Mean?,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 12</I><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278606,9781420278606,,Helen Chapman ,""1, 2""
School Rules,School Rules,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report'</I><BR><I>Reading level: 20</I><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278613,9781420278613,,Helen Chapman ,""1, 2""
Values,Values,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 12</I><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278620,9781420278620,,Helen Chapman ,""1, 2""
Caring for our Environment,Caring for our Environment,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 20</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278637,9781420278637,,Helen Chapman ,""1, 2""
Civics and Citizenship Lower Primary Pack ,Civics and Citizenship Lower Primary Pack ,<BR>This pack contains six each of each of the 8 titles in the Mac Australia Lower Civics and Citizenship set.<BR><FONT color=#ffffff>nnn</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><BR>,MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112649,9992101112649,,Various,""1, 2""
Me and My Family,Me and My Family,<BR><I>Everyone belongs to a family. Family members do things together. They help look after each other. A family is a special group of people.</I><BR><FONT color=#ffffff>vvv</FONT><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 12</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290370,9781420290370,,Helen Chapman ,""1, 2""
Our Neighbours,Our Neighbours,<BR>This book explores the concept of neighbours. <I>Do you know your neighbours? Neighbours sometimes play in the park together.</I><BR><I>They wave to each other at the local shops. Neighbours look after others in their neighbourhood.</I><BR><FONT color=#ffffff>nnn</FONT><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 12</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290387,9781420290387,,Helen Chapman ,""1, 2""
Local Community Events,Local Community Events,<BR>This book explores local community events. People in local communities like to get together for special events. Some events are for fun. Some are more serious. All of them bring people from the community together.<BR><FONT color=#ffffff>nnn</FONT><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 20</I><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290394,9781420290394,,Helen Chapman ,""1, 2""
Local Place mes,Local Place mes,<BR><I>Where does the name Canberra come from? What do you think happened at Mount Disappointment? Special people and events are often remembered in place names. Local place names can tell a lot about a place.</I><BR><I><FONT color=#ffffff>mmm</FONT></I><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 20</I><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290400,9781420290400,,Helen Chapman ,""1, 2""
Sports Clubs,Sports Clubs,"<BR><I>There's a sports club for you, whichever sport you play. Learn new skills, meet new friends, and have fun every day.</I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 12</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276411,9781420276411,,Heather Hammonds ,""1, 2""
Birthday Celebrations,Birthday Celebrations,"<BR><I>Each year we celebrate birthdays with our family and our friends. We sing, play games, get presents and we all hope the day never ends.</I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading Level: 12</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276428,9781420276428,,Heather Hammonds ,""1, 2""
Respecting the Rules,Respecting the Rules,"<BR><I>Families have rules. Schools and clubs have rules. Different groups have different rules. When we join a group we follow its rules. Following rules helps us feel we belong to the group. </I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Reading Level: 20</I><BR><I>Text Type: Information Report</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276435,9781420276435,,Heather Hammonds ,""1, 2""
Celebrating at School,Celebrating at School,"<BR><I>There are lots of times during the school year when we come together to celebrate. School celebrations are a good way to learn about the people in our school community. </I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Reading Level: 20</I><BR><I>Text Type: Information Report</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276442,9781420276442,,Heather Hammonds ,""1, 2""
Cultures and Environments Teacher Resource Book Lower Primary,Cultures and Environments Teacher Resource Book Lower Primary,"<BR>This book provides guided reading and writing notes for titles in Mac Australia Topics Lower - Environments and Cultures sets. An Inquiry Learning unit and blackline masters are also included.<BR><FONT color=#ffffff>mmm</FONT><BR><B><FONT color=#000080>The notes are for the following books:</FONT></B><BR><B>Cultures</B><BR><I>Birthday Celebrations</I><BR><I>Celebrating at School</I><BR><I>Respecting the Rules</I><BR><I>Sports Clubs</I><BR><BR><B>Environments</B><BR><I>Our Homes, Our Environments</I><BR><I>Parks in Australia</I><BR><I>Plants for Shelter</I><BR><I>Rivers</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278736,9781420278736,,Charlotte Forwood,""F, K, 1, 2""
Cultures Lower Primary Pack,Cultures Lower Primary Pack,<BR>This set contains six each of four titles in the <B>Mac Australia Topics: </B><B>Cultures Lower </B>set.<BR><FONT color=#ffffff>mmm</FONT><BR><B>Titles</B><BR><I>Birthday Celebrations</I><BR><I>Celebrating at School</I><BR><I>Respecting the Rules</I><BR><I>Sports Clubs</I><BR><BR>,MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112601,9992101112601,,Various,""1, 2""
Parks in Australia,Parks in Australia,"<BR><I>Big parks, little parks, city parks, sea parks, look for a park near you. Parks are for people and play and plants, And parks are for animals, too.</I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 12</I><BR><I>Text Type: </I><I>I</I><I>nformation Report</I><BR><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276206,9781420276206,,Heather Hammonds ,""1, 2""
Plants for Shelter,Plants for Shelter,"<BR><I>Shelter from the rain and wind, shelter from the sun. Trees and plants give shelter, to animals, crops and everyone.</I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR>Reading Level: 12<BR>Text Type: Information Report<BR><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276213,9781420276213,,Heather Hammonds ,""1, 2""
Rivers,Rivers,"<BR><I>Rivers carry water across the land. This water flows into the sea, a lake or a bigger river. Rivers are home to birds, fish, plants and small animals. </I><BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 20</I><BR><I>Text Type: Information Report</I><BR><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276220,9781420276220,,Heather Hammonds ,""1, 2""
"Our Homes, Our Environment","Our Homes, Our Environment","<BR>The homes we live in give us shelter from the rain, the wind, the heat and the cold. In <I>Our Homes</I>, <I>Our Environment</I> we see how people in different parts of Australia live in houses built for the climate and the environment. <BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 20</I><BR><I>Text Type: Information Report</I><BR><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276237,9781420276237,,Heather Hammonds ,""1, 2""
Environments Lower Primary Pack,Environments Lower Primary Pack,"<BR>This set contains six each of four titles in the <B>Mac Australia Topics: Environments</B> <B>Lower </B>set.<BR><FONT color=#ffffff>ccc</FONT><BR><B>Environments</B><BR><I>Our Homes, Our Environments</I><BR><I>Parks in Australia</I><BR><I>Plants for Shelter</I><BR><I>Rivers</I><BR><BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112618,9992101112618,,Various,""1, 2""
Grandpa's First Year at School,Grandpa's First Year at School,"<BR><I>Free milk at playtime, tuckshop treats, different schoolyard games. In Grandpa's day some things were different. Some things were just the same.</I><BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 12</I><BR><I>Text Type: Information Report</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278361,9781420278361,,Louise Park ,""1, 2""
My Family Comes from China,My Family Comes from China,"<BR><I>In this book, seven-year-old Edward Huang tells the story of his Chinese-Australian family. After five generations in Australia, Edward's family still celebrates Chinese traditions in their restaurant in Sydney.</I><BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 20</I><BR><I>Text Type: Information Report</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278378,9781420278378,,Louise Park ,""1, 2""
 What Grandma's Family Wore in the 1950s, What Grandma's Family Wore in the 1950s,"<BR><I>Clothes for parties, clothes for playing, black lace-up shoes to wear to school. ""These days,"" says Grandma, ""clothes are fun. There are not so many rules.""</I><BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 12</I><BR><I>Text Type: Information Report</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278385,9781420278385,,Louise Park ,""1, 2""
The Telephone Then and Now,The Telephone Then and Now,"<BR><I>Telephones have changed in many ways from the first telephones people used. But in some ways they have remained the same. In this book, you can read about telephones from when they were first invented to now.</I><BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 20</I><BR><I>Text Type: Information Report</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278392,9781420278392,,Louise Park ,""1, 2""
History Lower Primary Pack,History Lower Primary Pack,<BR>This pack contains six of each of the 4 titles in the Lower History set.<BR><FONT color=#ffffff>bbb</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><B>History</B><BR><I>Grandpa's First Year at School</I><BR><I>My Family Comes from China</I><BR><I>Telephones Then and Now</I><BR><I>What Grandma's Family Wore in the 1950's</I><BR><BR><BR>,MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112625,9992101112625,,Various,""1, 2""
History Topic Pack,History Topic Pack,"<BR>The <B>History Topic Pack</B> contains 12 titles across Lower, Middle and Upper Mac Australia Topics.<BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112854,9992101112854,,Various,""1, 2, 3, 4, 5, 6""
History Value Pack,History Value Pack,"<BR>The <B>History Value Pack</B> contains six each of 12 titles across Lower, Middle and Upper Mac Australia Topics.<BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112861,9992101112861,,Various,""1, 2, 3, 4, 5, 6""
Local Transport,Local Transport,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Reading Level: 12</I><BR><I>Text Type: Information Report</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278484,9781420278484,,Louise Park ,""F, K, 1, 2""
Our Water Supply,Our Water Supply,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 20</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278491,9781420278491,,Louise Park ,""F, K, 1, 2""
The Police,The Police,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 12</I><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278507,9781420278507,,Louise Park ,""F, K, 1, 2""
Community Volunteers,Community Volunteers,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading level: 20</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278514,9781420278514,,Louise Park ,""F, K, 1, 2""
"Social Systems & Structures, Civics & Citizenship and History Teacher Resource Book Lower Primary","Social Systems & Structures, Civics & Citizenship and History Teacher Resource Book Lower Primary",<BR>This book provides guided reading and writing notes for titles in<B> Mac Australia Topics Lower</B> - Social Systems &amp,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278767,9781420278767,,Charlotte Forwood,""F, K, 1, 2""
Social Systems and Structures Lower Primary Pack,Social Systems and Structures Lower Primary Pack,<BR>This pack contains six each of 4 titles in the Lower Social Systems and Structures set.<BR><FONT color=#ffffff>nnn</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><B>Social Systems &amp,MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112632,9992101112632,,Various,""1, 2""
Social Systems and Structures Topic Pack,Social Systems and Structures Topic Pack,"<BR>The <B>Social Systems and Structures Topic Pack</B> contains 12 titles across Lower, Middle and Upper Mac Australia Topics.<BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112878,9992101112878,,,""F, K, 1, 2, 3, 4, 5, 6""
Social Systems and Structures Value Pack ,Social Systems and Structures Value Pack ,"<BR>The <B>Social Systems and Structures Value Pack</B> contains six each of 12 titles across Lower, Middle and Upper Mac Australia Topics.<BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112885,9992101112885,,,""F, K, 1, 2, 3, 4, 5, 6""
Make Your Vote Count!,Make Your Vote Count!,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading Ages: 8.5-10 years</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278644,9781420278644,,,""3, 4""
Taking Action,Taking Action,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading Ages: 8.5-10 years</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278651,9781420278651,,,""3, 4""
Australia's Multicultural Way of Life,Australia's Multicultural Way of Life,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading Ages: 8.5-10 years</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278668,9781420278668,,,""3, 4""
Australia Day,Australia Day,<BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading Ages: 8.5-10 years</I><BR><BR>,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278675,9781420278675,,,""3, 4""
"Social Systems & Structures, Civics & Citizenship and History Teacher Resource Book Middle Primary","Social Systems & Structures, Civics & Citizenship and History Teacher Resource Book Middle Primary",<BR>This book provides guided reading and writing notes for all the titles in<B> Mac Australia Topics Middle</B> - <B>Social Systems &amp,MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420278774,9781420278774,,,""3, 4""
Civics and Citizenship Middle Primary Pack ,Civics and Citizenship Middle Primary Pack ,<BR>This pack contains six of each of the 8 titles in the Mac Australia Middle Civics and Citizenship set.<BR><FONT color=#ffffff>nnn</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><BR>,MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112717,9992101112717,,,""3, 4""
Local Government,Local Government,"<BR>Local governments are made up of councillors and local government workers. Councillors are elected members of the local community. They meet regularly to make decisions about what is best for their community.<BR><FONT color=#ffffff>,,,,</FONT><BR>In <I>Local Government</I> you can find out about how a local council is organised and run. You can read about council elections, voting and how by-laws are made. You can also find out about the many services provided by local government.<BR><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading ages: 8.5-10 years</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290417,9781420290417,,,""3, 4""
Become an Active Citizen,Become an Active Citizen,"<BR>Active citizens work to make things better in their community. They know what they want to change and how to go about it. Have you ever wondered how to change things you don t like in your community?<BR><FONT color=#ffffff>,,,,</FONT><BR>Read about the rights you have in a democracy that allow you to speak up and take action. Learn about the steps you can take and the groups you can join. You might become an active citizen yourself.<BR><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading ages: 8.5-10 years</I><BR><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290424,9781420290424,,,""3, 4""
Aboriginal and Torres Strait Islander Society,Aboriginal and Torres Strait Islander Society,"<BR>There are many Aboriginal and Torres Strait Islander societies in Australia. They all have a strong connection to their land and they each have their own language, Dreaming and traditional law.<BR><FONT color=#ffffff>,,,,</FONT><BR>In this book, you can read about how Aboriginal and Torres Strait Islander societies live in Australia today. You an find out about their successes and struggles and about the contributions they have made to the Australian nation.<BR><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading ages: 8.5-10 years</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290431,9781420290431,,,""3, 4""
Local Communities,Local Communities,"<BR>Wherever people live, they belong to a local community. Some live in the country and some live in the city. Others live by the sea or in the outback. In every location, there is a local community.<BR><FONT color=#ffffff>,,,,</FONT><BR>People in local communities work together to support each other. They join groups and ake part in local events. People in local communities help make their community a great place to live.<BR><BR>Covering subjects from the Humanities curriculum this book is from the <B>Mac Australia</B> <B>Topics </B>series that combines brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading ages: 8.5-10 years</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420290448,9781420290448,,,""3, 4""
Civics and Citizenship Topic Pack ,Civics and Citizenship Topic Pack ,"<BR>The <B>Civics and Citizenship Topic Pack</B> contains 20 titles across Lower, Middle and Upper Mac Australia Topics.<BR><BR><BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112892,9992101112892,,,""1, 2, 3, 4, 5, 6""
Civics and Citizenship Value Pack,Civics and Citizenship Value Pack,"<BR>The <B><I>Civics and Citizenship Value Pack</I></B> contains six each of 20 titles across Lower, Middle and Upper Mac Australia Topics.<BR>",MEA,Mixtures Pack,"Primary,English,Mac Australia Topics",TRUE,9992101112908,9992101112908,,,""3, 4""
Australians All,Australians All,"<BR><I>Australians</I> <I>All </I>looks at many aspects of Australia's diverse communities. We are a country of many different cultures living happily alongside one another. <BR><FONT color=#ffffff>,,,,</FONT><BR>Indigenous Australians have been here for more than 60,000 years. Since the last decades of the 1700s there have been waves of new settlers from scores of countries-- from Britain to China, Italy to India, Greece to Somalia. <BR><BR>New arrivals have added to Australian culture by bringing with them their food, music, religion and language to share with all Australians.<BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><I>Text Type: Information Report</I><BR><I>Reading age: 8.5-10 yrs</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276459,9781420276459,,,""3, 4""
Sacred Places,Sacred Places,"<BR>What people believe in affects the way they live.<BR><FONT color=#ffffff>,,,,</FONT><BR>Indigenous people have the oldest belief system in Australia. Waves of new settlers brought their beliefs and religions to Australia - from Christianity to Islam and Judaism, Hinduism and Buddhism. <BR><BR>At the heart of religious communities are the sacred places:<BR>*sacred sites, churches, temples, mosques, and synagogues <BR>* where they gather for spiritual and other occasions, such as funerals, weddings and memorial services.<BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Text Type: Information Report</I><BR><I>Reading age: 8.5-10 yrs</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276466,9781420276466,,,""3, 4""
Coastal Communities,Coastal Communities,"<BR>Some Australians live in small towns and communities on the coast where they enjoy a relaxed lifestyle. Many of them are permanent residents. Others are weekenders and some are visitors during the holiday time. They enjoy participating in community life, even if they have different points of view on some things!<BR><FONT color=#ffffff>,,,,</FONT><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Text Type: Information Report</I><BR><I>Reading age: 8.5-10 yrs</I><BR><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276473,9781420276473,,,""3, 4""
Religions and Beliefs in Australia,Religions and Beliefs in Australia,"<BR>Australians are free to practise any religion they choose, or none at all.<BR><FONT color=#ffffff>,,,,</FONT><BR>Long before European people began to live in Australia in 1788, Indigenous people in this land had their own belief systems. These beliefs have a strong connection both to the land and to spirit ancestors.<BR><BR>Today most Australians who practise a religion belong to one of the many branches of Christianity and in particular its Catholic and Anglican traditions. Judaism, Islam and the Hindu and Buddhist faiths are also flourishing in modern Australia. <BR><BR>Many Australians do not practise any form of religion but have their own personal beliefs. <BR><BR>Covering subjects from the Humanities curriculum the <B>Mac Australia</B> <B>Topics</B> books combine brilliant photography and visual literacy elements with authoritative text matched to students' reading ability.<BR><BR><BR><I>Text Type: Information Report</I><BR><I>Reading age: 8.5-10 yrs</I><BR>",MEA,Paperback,"Primary,English,Mac Australia Topics",TRUE,9781420276480,9781420276480,,,""3, 4""
